short_name,symbol,company_id,industry,sector,employees,equity_type,isin,description
South Logistics JSC,STG,958677,Air Freight & Logistics,Industrials,1173,ORD,VN000000STG3,"South Logistics Joint Stock Company, together with its subsidiaries, provides international freight forwarding, import-export forwarding, and warehousing services in Vietnam and internationally. The company offers international freight forwarding services, including sea freight, air freight, multimodal transportation, consolidation, and cross border trucking services; and domestic freight forwarding services, such as logistics, custom procedures, project and bulk cargo handling, inland waterway transport, distribution transport, and inland road transport services. It also provides warehousing and bonded warehousing services; operates a port; total and integrated logistics solutions; and trades in and distributes oil and petroleum products. South Logistics Joint Stock Company was founded in 1975 and is headquartered in Ho Chi Minh City, Vietnam. South Logistics Joint Stock Company is a subsidiary of Indo Trans Logistics Corporation."
Pacific Petroleum Transport,PVP,994443,Air Freight & Logistics,Industrials,9800,ORD,VN000000PVP6,"Pacific Petroleum Transportation Joint Stock Company (PV Trans Pacific) is a Vietnam-based company primarily engaged in maritime oil transportation. The Company's leading business activities include the transport of crude oil by its own tankers; the management and operation of commissioned seaborne oil tankers on contract basis; the provision of support services to maritime oil transport, including logistics, fuel refilling and drinking water supply, and the rental of floating oil storage tanks."
Transimex Saigon Corp,TMS,958706,Air Freight & Logistics,Industrials,2012,ORD,VN000000TMS1,"Transimex Corporation, formerly known as Transforwarding Warehousing Joint Stock Corporation, is a Vietnam-based company engaged in freight forwarding and warehousing. The Company offers freight forwarding services of air and sea cargoes, as well as warehousing services utilizing its warehouse network of bonded warehouses, container freight stations (CFS's) and inland clearance depots (ICD's). The Company is also involved in the provision of cargo handling services, ship agency and brokerage services, customs clearance services and goods packing and marking services. Other activities include office leasing and petroleum trading."
Duyen Hai Multi Modal Transport JSC,TCO,958690,Air Freight & Logistics,Industrials,-,ORD,VN000000TCO1,"Duyen Hai Multi Modal Transport Joint Stock Company (TASA DuyenHai) is a Vietnam-based company engaged in the transportation industry. The Company provides container transportation services on roadways, waterways and railways. It is involved in the operation of container yards and Thuy Van Inland Container Depot (ICD Thuy Van), along with the offering of related services, such as cargo loading and unloading services. In addition, it offers marine vessel chartering services, warehousing services, including Container Freight Station (CFS) services, as well as repair and maintenance services of transportation equipment and containers. As of December 31, 2012, the Company had seven subsidiaries."
Saigon Train,SHX,992676,Air Freight & Logistics,Industrials,-,ORD,VN000000SHX3,"Saigon Transport Agency Joint Stock Company operates as a transport company in Vietnam and internationally. It transports and handles various types of cargo, such as heavy and extra-sized machinery, plants, equipment, etc. The company was founded in 1976 and is headquartered in Ho Chi Minh City, Vietnam."
Vietjet Aviation,VJC,997168,Airlines,Industrials,5538,ORD,VN000000VJC7,"Vietjet Aviation JSC is a Vietnam-based company primarily engaged in the airlines sector. The Company's business activities are divided into five segments, including air transportation, related services for customers, air transportation support activities, flight and flight attendant training, and aircraft dealing and leasing. It is involved in the provision of air transportation services of passengers and cargo via scheduled flights, the operation of chartered flight services and the rental of aircraft space for advertisement."
Textile Garment Import Export,VTI,958767,Apparel/Accessories,Consumer Cyclical,114,ORD,VN000000VTI3,"Textile - Garment Import - Export and Production Joint Stock Corporation (VINATEXIMEX) is a Vietnam-based company, which is engaged in the merchant wholesale of diversified products. The Company's major products are garment and textile goods, including towels, woolen carpets, sedge mats, bathrobes and table clothes, as well as machinery and equipment for textile industry. Other regular business activities of the Company include the leasing of warehouses; the trading of a wide range of industrial supplies, such as malt, paper, plastic, structural steel and automobiles; the manufacture of attires under its own brand name V.Style, and the processing of clothes for other firms."
Vinacomin Motor,VMA,995171,Auto & Truck Manufacturers,Consumer Cyclical,-,ORD,VN000000VMA5,"Vinacomin Motor Industry Joint Stock Company (VMIC) is a Vietnam-based company, which is mainly engaged in the manufacture, assembly, maintenance and reparation of transportation vehicles. The Company's leading products are heavy duty trucks used in the delivery of mining products, together with light trucks and other utility vehicles. Other regular business activities of the Company include the production of automotive parts, the commerce of industrial machinery and equipment, the construction of industrial and civil infrastructures, as well as the provision of technical consulting services. VMIC's major clients are other companies under the Vietnam National Coal and Mineral Industries Holding Corporation Limited (VINACOMIN)."
Danang Rubber JSC,DRC,958462,Auto Components,Consumer Discretionary,1689,ORD,VN000000DRC8,"Danang Rubber JSC is a Vietnam-based company engaged in the rubber processing sector, specifically, tire and tube manufacturing activities. It manufactures, trades, imports and exports rubber tires, inner tubes and other derived products for automobiles, motorbikes and bicycles. It also manufactures other rubber products for mechanical uses, as well as trades materials and supplies for the rubber industry. The Company is involved in the offering of installation services of machinery and equipment for rubber processing activities."
Thong Nhat Rubber JSC,TNC,958710,Auto Components,Consumer Discretionary,-,ORD,VN000000TNC3,"Thong Nhat Rubber Joint Stock Company is a Vietnam-based company engaged in the rubber industry. It is involved in the operation and management of rubber plantations, as well as the processing and trading of latex and other rubber products. The Company is also engaged in the manufacturing and trading of cashew nuts, animal feeds, corn, tapioca chips and other agricultural products. In addition, it is involved in wood processing, as well as the manufacturing and trading of furniture and wood planks. Other activities include forestation, non-metallic mineral mining and the offering of land clearing services."
Sao Vang Rubber JSC,SRC,958670,Auto Components,Consumer Discretionary,842,ORD,VN000000SRC6,"Sao Vang Rubber Joint Stock Company is a Vietnam-based company engaged in the rubber industry. The Company manufactures and trades tires and hoses for automobiles, motorbikes and bicycles, as well as other technical rubber products, such as rubber conveyor belts, anti-crash cushions, rubber axes and other rubber accessories. It is also involved in the trading of equipment and supplies for the rubber industry, along with the retail trade of electronic consumer products. In addition, the Company provides offices and warehouses for rent. During the year ended December 31, 2012, 99% of the Company's revenue came from the sale of rubber products. As of December 31, 2012, the Company was a subsidiary of Vietnam National Chemical Corporation (Vinachem)."
Southern Rubber Industry JSC,CSM,958433,Auto Components,Consumer Discretionary,1109,ORD,VN000000CSM7,"The Southern Rubber Industry Joint Stock Company (Casumina) is a Vietnam-based company operating in the rubber industry. The Company is engaged in the manufacturing of rubber products for industrial and other usage, as well as the trading of materials, equipment and chemicals used in rubber product manufacturing. Its products include bicycle, motorcycle and automobile tires, along with rubber gloves and tubes. The Company's products are distributed in the domestic market and exported to Cambodia, Laos, Thailand and African countries. In addition, it is involved in real estate operations. As of December 31, 2012, the Company was a subsidiary of Vietnam National Chemical Corporation (Vinachem). As of the same date, it had one joint venture, one affiliate and four enterprises."
Dry Cell and Storage Battery,PAC,958591,Auto Components,Consumer Discretionary,-,ORD,VN000000PAC8,"Dry Cell and Storage Battery Joint Stock Company (PINACO) is a Vietnam-based manufacturer of electrical equipment. The Company manufactures and trades dry cells and storage batteries, as well as materials and equipment for dry cell and battery production activities. Its products are distributed through authorized agents nationwide in Vietnam. In addition, it is involved in real estate trading and office leasing. On May 9, 2014, the Company announced that it has reduced its holding stake in Viet Gia Phu Real Estate Investment and Trading to 2.25%."
GiaiPhong Motor,GGG,42001,Automobiles,Consumer Discretionary,-,ORD,VN000000GGG5,"Giaiphong Motor Joint Stock Company is a Vietnam-based company operating in the automobile industry. The Company's major undertakings include the assembly, maintenance and commerce of light trucks, heavy duty trucks, minivans and motorcycles. Besides, the Company is engaged in the replacement and reparation of motor vehicle parts and accessories, such as headlamps, rear-view mirrors, windshields, brakes and fuel tanks, among others."
TMT Motor JSC,TMT,958707,Automobiles,Consumer Discretionary,597,ORD,VN000000TMT9,"Tmt Motors Corporation, formerly TMT Automobile Joint Stock Company, is a Vietnam-based manufacturer of automobiles, light trucks and motorcycles. The Company also trades motor vehicle spare parts and provides repair and maintenance services for automobiles and motorcycles. It trades petroleum and electronic products, as well as interior decorations. In addition, it is involved in the provision of freight transportation services and the construction of traffic structures. On January 8, 2014, the Company announced that it has acquired 68.11% stake in 30-4 Design Consulting and Construction Mechanical Joint Stock Co. On April 21, 2014, the Company announced that it has dissolved its subsidiary, TMT Automobile Manufacture and Installation Co Ltd."
ACB,ACB,41913,Banks,Financial,12016,ORD,VN000000ACB8,"Asia Commercial Joint Stock Bank (ACB) is a Vietnam-based financial institution which offers commercial banking services. The Bank is involved in the provision of consumer banking services, including deposits, payment accounts, savings accounts, payment services, credit cards, consumer loans, bancassurance services, e-wallets and customized packages for specific clienteles. It is also engaged in the provision of corporate banking services, such as short, medium and long term credit, deposits, international and domestic payment services, trade financing, guarantee services, money and liquidity management, forex trading and others. The Bank has correspondent banking relationships with various banks worldwide."
Vietnam Export Import Commercial,EIB,958472,Banks,Financial,5079,ORD,VN000000EIB7,"Vietnam Export Import Commercial Joint Stock Bank (Eximbank) is a Vietnam-based financial institution providing consumer and corporate banking services. Its products include multiple types of savings, deposits, loans, credits, bank guarantees, credit cards and cash services. The Bank is also involved in international clearing, money transfer, foreign exchange and gold trading, as well as the offering of financing package services for overseas studying. Other operations are financial investment, along with the provision of financial consultancy services, telephone - banking, home - banking and treasury services. The Bank has one subsidiary, two affiliates, a transaction center, 41 branches in cities and provinces nationwide and a representative office in Hanoi."
Sai Gon Ha Noi Commercial,SHB,42190,Banks,Financial,8262,ORD,VN000000SHB9,"Sai Gon Ha Noi Commercial Joint Stock Bank is a Vietnam-based financial institution. The Bank is engaged in the provision of commercial banking services for both individual and corporate clients. Its products for individual clients include personal loans, such as home mortgage loans, home improvement loans, mortgage swap, education loans for studying abroad, car loans and loan guarantees, as well as individual deposits, such as current accounts, savings accounts, time deposits, on-call deposits and deposit certificates. Its products for corporate clients comprise current accounts, business savings accounts, time deposits, trade financing, documentary discounting, corporate loans, payment guarantees and remittances. Other businesses include gold trading and insurance agency."
Sai Gon Thuong Tin Commercial,STB,958676,Banks,Financial,18130,ORD,VN000000STB4,"Saigon Thuong Tin Commercial Joint Stock Bank (Sacombank) is a Vietnam-based financial institution. The Bank is engaged in the provision of commercial banking services to individual and corporate clients. Under personal banking business, it provides cards, loans, deposits and money transfer services, together with electronic banking services. Under corporate banking business, the Bank is engaged in credit activities, deposit taking, international settlement, import export financing and cash management. Via its subsidiaries, the Bank also partakes in debt and asset management, fund management, foreign exchange and gold trading, financial leasing and the offering of securities brokerage services."
Vietnam Joint Stock Commercial Bank,CTG,958437,Banks,Financial,24939,ORD,VN000000CTG7,"Vietnam Joint Stock Commercial Bank for Industry and Trade (Vietinbank) is a Vietnam-based financial institution. The Bank provides commercial banking services for individuals and corporate clients. It is also engaged in the provision of international clearing services and money transfer services, as well as securities dealing activities. Moreover, the Bank provides derivative products, such as futures, forwards, swaps and options. Other operations include financial leasing activities and the offering of guarantee services, insurance services and securities related services."
Viet Nam International Commercial Joint Stock Bank,VIB,995165,Banks,Financial,9913,ORD,VN000000VIB1,"Vietnam International Commercial Joint Stock Bank provides banking products and services to organizations and individuals. The company offers current and saving accounts; term deposits; mortgage loans, house loans, car loans, personal loans, micro-SME loans, working capital loans, overdrafts, medium and long term corporate loans, project finance, corporate bonds, and factoring; trade finance, guarantee, payroll, remittance, liquidity management, and industry bundle services. It also offers insurance products; tax payment and transfer services; Internet and mobile banking services; debit and credit cards; and foreign exchange and hedging services. The company operated 165 branches and transaction offices in 27 provinces/ cities. Vietnam International Commercial Joint Stock Bank was founded in 1996 and is headquartered in Ho Chi Minh City, Vietnam."
Military Commercial Bank,MBB,958561,Banks,Financial,15643,ORD,VN000000MBB5,"Military Commercial Joint Stock Bank (MB) is a Vietnam-based financial institution. It is engaged in the offering of commercial banking services and derivative products to both individual and institutional clients. The Bank also acts as an insurance agent and provides related services. It is involved in the trading of bonds and other valuable papers, securities dealing, as well as the trading and processing of gold. In addition, the Bank is engaged in other financial investment activities, including portfolio management, through its subsidiaries and affiliates."
Bank for Investment and Development,BID,958398,Banks,Financial,26467,ORD,VN000000BID9,"Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) is a Vietnam-based financial institution. The Bank is engaged in the provision of commercial banking services to individual and corporate clients. Under personal banking business, it provides personal loans, cards, deposits, money transfer and other services. Under corporate banking business, the Bank is engaged in the offering of loans, deposit accounts, cards, together with guarantee, discounting, trade financing, international transaction settlement, gold trading and foreign exchange services. Through its subsidiaries, the Bank is involved in debt and asset management, securities brokerage and insurance activities."
Vietcombank,VCB,958731,Banks,Financial,21601,ORD,VN000000VCB4,"Joint Stock Commercial Bank for Foreign Trade of Viet Nam (Vietcombank) is a Vietnam-based financial institution active in the banking business. The Bank is engaged in the offering of various commercial banking services and products for individual and corporate clients both, such as deposits, loans and cards. It is also involved in the provision of international clearing, treasury services, foreign exchange dealing, money transfer, sales financing, international trade financing and financial transaction services. Other activities of the Bank include discounting, guarantee, clean collection, financial leasing and securities dealing. Through its subsidiaries, it is involved in the offering of investment banking services and real estate operations."
National Citizen Commercial Joint Stock Bank,NVB,42100,Banks,Financial,2028,ORD,VN000000NVB1,"National Citizen Bank, formerly Nam Viet Commercial Joint Stock Bank, is a Vietnam-based financial institution. The Bank is engaged in the provision of commercial banking services for individual and corporate clients. It is involved in deposit taking, card issuing, foreign exchange trading, commercial paper discounting and the offering of loans, payment services and treasury services. Other operations include credit activities, financial investment and securities dealing. The Bank's product lines are categorized into three groups based on its targeted customers: individual, enterprise organizations and financial organizations, and include deposit product, payment product, credit product, deposit and interbank loan, investment product, foreign currency trading and other products."
Chuong Duong Beverages JSC,SCD,958643,Beverages,Consumer Staples,268,ORD,VN000000SCD6,"Chuong Duong Beverages Joint Stock Company (CDBECO) is a Vietnam-based manufacturer of beverages. Its products include soft drinks, fruit drinks, mild wine and purified drinking water. The Company also offers bottling, packaging and related services to other beverage producers, as well as trades supplies and materials for the beverage industry. Moreover, it is involved in real estate trading and the offering of real estate brokerage services. As of December 31, 2012, the Company was a 51%-owned subsidiary of Saigon Beer - Alcohol - Beverage Joint Stock Corporation (SABECO). As of the same date, it had three branches located in Ho Chi Minh City, Binh Duong Province and Vinh Long Province, Vietnam."
Halong Beer Beverage,HLB,997144,Beverages,Consumer Staples,-,ORD,VN000000HLB4,"Halong Beer and Beverage Joint Stock Company (Halobeco) is a Vietnam-based company primarily engaged in brewing sector. The Company's leading business activities include the manufacture and trading of beer products, such as canned beer, draught beer and bottled beer, among others."
HAD,HAD,42004,Beverages,Consumer Staples,-,ORD,VN000000HAD3,"Hanoi - HaiDuong Beer Joint Stock Company (Hadubeco) is a Vietnam-based company engaged in the brewing industry. The Company is involved in the manufacture of beer. Its products include Hanoi-branded and HaiDuong-branded bottled beer, as well as draught beer. It also markets wine and non-alcoholic drinks. As of December 31, 2012, the Company was a 55%-owned subsidiary of Hanoi Beer - Alcohol - Beverage Corporation (Habeco)."
Sai Gon Quang Ngai Beer,BSQ,997141,Beverages,Consumer Staples,160,ORD,VN000000BSQ0,"Sai Gon Quang Ngai Beer Joint Stock Company (Sabeco QuangNgai) is a Vietnam-based company primarily engaged in brewing sector. Its leading business activities are the manufacture and the distribution of canned, bottled and draft beer. The Company's major products include canned Saigon Lager beer, bottled Saigon Lager, Saigon Export and Special beer, as well as Saigon draft beer."
Sai Gon Mien Trung Beer,SMB,958664,Beverages,Consumer Staples,-,ORD,VN000000SMB9,"Sai Gon - Mien Trung Beer Joint Stock Company (SMB) is a Vietnam-based company operating in the brewing industry. The Company is mainly engaged in the production and commerce of bottled beer under a few brand names: Sai Gon, Loewen Pils and Qui Nhon, together with draught beer, wine, mineral water and non-alcoholic beverages. SMB is a member of Saigon Beer - Alcohol - Beverage Corporation (SABECO), therefore all of SMB's beer products under the brand name Sai Gon, including Sai Gon Lager and Sai Gon Export, are dispensed via SABECO's distribution system, whereas others are distributed by merchant wholesalers. The Company is also a contract manufacturer of soft drinks for PEPSICO, INC."
Western Sai Gon Beer JSC,WSB,958770,Beverages,Consumer Staples,-,ORD,VN000000WSB8,"Saigon Beer Western Joint Stock Company (Wesabeco) is a Vietnam-based company operating in the brewing industry. The Company is engaged in the manufacture of canned and bottled beer under a few brand names: Sai Gon Lager, Sai Gon Export and 333 Export. Its products are solely distributed by its parent company, Saigon Beer - Alcohol - Beverage Corporation (Sabeco). Apart from beer production, the Company partakes in the commerce of equipment and supplies for beer manufacturing activities."
Hanoi Beer Alcohol,BHN,993046,Beverages,Consumer Staples,551,ORD,VN000000BHN0,"Hanoi Beer Alcohol and Beverage Joint Stock Corporation (Habeco) is a Vietnam-based brewer. Its leading business activities are the production and distribution of beer, malt and alcohol. The Company, via its subsidiaries, is also involved in the manufacture of packaging, such as aluminum cans and beverage containers."
Saigon Beer Alcohol Beverage,SAB,994073,Beverages,Consumer Staples,8388,ORD,VN000000SAB4,"Saigon Beer - Alcohol - Beverage Corporation, together with its subsidiaries, produces and sells beer, alcohol, beverages, and related products and packaging materials in Vietnam. The company also produces and trades in canned food and accessories; soft drinks; yeasty malt, mineral water, and bottled purified water; tin lid rings and metal packaging products; and packaging products for the food and beverage industry. In addition, it offers transportation and warehousing services; provides cargo transportation services by car, road, and waterway; manufactures equipment used in food manufacturing; and manufactures, installs, and maintains machinery systems and equipment, as well as constructs and offers real estate services. Further, the company is involved in the trading and wholesale of beer, alcohol, beverages, and non-alcohol drinks; structural steel construction business; and trading of packaging products. It also exports its products to 35 countries. The company was founded in 1875 and is headquartered in Ho Chi Minh City, Vietnam. Saigon Beer - Alcohol - Beverage Corporation is a subsidiary of Vietnam Beverage Company Limited."
Lam Dong Foodstuff JSC,VDL,42262,Beverages,Consumer Staples,195,ORD,VN000000VDL1,"Lamdong Foodstuffs Joint Stock Company is a Vietnam-based company engaged in the production of wine. The Company offers Dalat-branded wine products, such as Dalat wine, Dalat red wine, Dalat white wine and alcohol. It is also engaged in the processing and export trading of cashew nuts. In addition, the Company offers other wine products under the brand name of Aviva, which are in natural cherry flavor, lemon fruit juice, strawberry fruit juice, grape fruit juice and mulberry fruit juice. The Company distributes its products within the domestic market and to Japan, Korea, Cambodia and Laos. The Company's other activities include crop production of agricultural products, as well as the import and export of specialized machinery and equipment for the food processing industry. As at December 31, 2012, the Company had one subsidiary named Ladofoods Company Limited."
THB,THB,42221,Beverages,Consumer Staples,-,ORD,VN000000THB7,"Thanh Hoa Beer Joint Stock Company is a Vietnam-based company engaged in the brewing industry. The Company manufactures alcoholic and non-alcoholic drinks, such as beer, red wine, soft drinks, bottled water, mineral water and bottled Bordeaux wine. It is involved in the wholesale and retail trade of these products, as well as the import and export of materials, supplies and equipment to support its operations. During the year ended December 31, 2012, 99.67% of the Company's total revenue came from the sale of its products. As of December 31, 2012, the Company was a 55%-owned subsidiary of Hanoi Beer - Alcohol - Beverage Corporation (HABECO), and it had one affiliate named Ha Noi - Thanh Hoa Beer Commercial Joint Stock Company, which is specialized in the sale of beer and wine."
Vinaconex Water Supply JSC,VCW,993312,Beverages,Consumer Staples,154,ORD,VN000000VCW0,"Song Da Water Investment Joint Stock Company (Viwasupco), formerly Vinaconex Water Supply Joint Stock Company, is a Vietnam-based utilities company. The Company is primarily engaged in the supply of clean water to the southwestern region of Hanoi, including Thanh Xuan, Hoang Mai, Cau Giay and Ha Dong districts."
Saigon Nghetinh Beer,SB1,994639,Beverages,Consumer Staples,-,ORD,VN000000SB19,"Saigon - Nghetinh Beer Joint Stock Company (SNB) is a Vietnam-based company primarily engaged in brewing sector. The Company's leading business activities include the manufacture and distribution of draft, canned and bottled beer under Vida and Sai Gon brands. SNB is also involved in the production of bottled drinking water."
Khanh Hoa Mineral Water,VKD,995168,Beverages,Consumer Staples,-,ORD,VN000000VKD3,"Khanh Hoa Mineral Water Joint Stock Company is a Vietnam-based company, which operates as a manufacturer of non-alcoholic beverages. It is involved in the production and commerce of bottled natural mineral water, green tea and soft drinks under a few brand names, such as Vikoda, Danhthanh and Sumo. The Company has established a network of distribution stores across Vietnam, and its major markets are Da Nang, DakLak and Khanh Hoa provinces."
Thanglong JSC,VTL,42290,Beverages,Consumer Staples,-,ORD,VN000000VTL7,"Thang Long Wine Joint Stock Company is a Vietnam-based company engaged in the beverages, distillers and wineries industry. The Company manufactures, distills and markets wine, vodka and other alcoholic drinks made from grapes, pineapples and other fruits, as well as nonalcoholic beverages. It is also involved in the manufacturing of containers and packagings for winery products, along with the trading of fruits, vegetables and frozen food. Other activities include hotel and restaurant operations, inbound and outbound tour operations, as well as office leasing. As of December 31, 2012, the Company had one subsidiary named Thang Long Wine One Member Company Limited, which is engaged in wine production. During the year ended December 31, 2012, 76.95% of the Company's total revenue came from the sale of its finished products. The Company announced that it has closed its Plastic Products Manufacturing Enterprise on December 16, 2012."
Saigon-Baclieu Beer,SBL,995724,Beverages (Alcoholic),Consumer/Non-Cyclical,-,ORD,VN000000SBL1,"Saigon-Baclieu Beer Joint Stock Company (Sabeco Bac Lieu) is a Vietnam-based company primarily engaged in brewing sector. Its leading business activities include the manufacture and wholesale of beer, alcohol and beverages. The Company is also involved in the operation of warehousing and storage facilities, the ground transportation of goods, as well as the trading of scraps and recyclables, such as glass, rubber and metals."
Sai Gon Phu Tho Beer,BSP,986438,Beverages (Alcoholic),Consumer/Non-Cyclical,-,ORD,VN000000BSP2,Saigon - Phutho BeerJoint Stock Company is a Vietnam-based brewer. The Company's leading activity is the production and distribution of Saigon branded canned beer.
Da Nang Plastic JSC,DPC,41990,Building Products,Industrials,-,ORD,VN000000DPC2,"Danang Plastic Joint Stock Company is a Vietnam-based company engaged in the plastic industry. The Company manufactures and trades consumer, industrial, technological and construction plastic products. Its products include plastic pipe fittings, cement packaging, nylon garbage bags, woven bags, laminated bags, shopping bags, trash containers, beer crates, slippers, safety helmets, motorbike spare parts and rubber boots. The Company is also involved in the trading of materials and supplies for the plastic sector. During the year ended December 31, 2012, 98.42% of the Company's total revenue came from industrial plastic products. As of December 31, 2012, the Company was an affiliate of Binh Minh Plastics Joint Stock Company."
Taicera Enterprise Co,TCR,958691,Building Products,Industrials,-,ORD,VN000000TCR4,"Taicera Enterprise Company Limited is a Vietnam-based manufacturer of construction fixtures. The Company manufactures and trades polished and normal granite, ceramic and quartz tiles, as well as other porcelain and china products. It has six branches located in Ho Chi Minh City, Hanoi, Danang, Nha Trang, Can Tho and Hai Phong City, Vietnam. As of December 31, 2012, the Company had three subsidiaries. As of the same date, the Company was a subsidiary of Union Time Enterprise Limited."
Viglacera Thang Long JSC,TLT,958704,Building Products,Industrials,-,ORD,VN000000TLT1,"Viglacera Thang Long Joint Stock Company is a Vietnam-based company, which is operating in the construction supplies and fixtures manufacture industry. The Company's major undertakings include the production and commerce of ceramic roof, wall and floor tiles under the brand name Viglacera Thang Long. Exclusively via its two partners, namely Viglacera Ceramic Tiles Trading Joint Stock Company and Viglacera Trading Joint Stock Company, the Company's products are distributed to wholesalers and retailers in various regions of Vietnam."
